"","logFC","logCPM","F","PValue","Group"
"PMPCB",0.230617123720059,7.15316568111612,5.29095236535795,0.0270839693619776,"None"
"MTPN",-0.481229955677787,7.5290616463229,20.8907655975116,5.1254707583872e-05,"Down"
"ZC3HAV1",0.348512550124155,8.54193125294282,11.1427833358703,0.00191167612673845,"Up"
"H2AZ2",-0.208396683957996,8.29485114396219,3.59573735606145,0.0656355722285648,"None"
"LMBR1",0.590923970293934,6.81042039276622,13.3210793381711,0.000846437899695887,"Up"
"SSBP1",0.0685837922636758,7.94321544987148,0.860113708127138,0.359625104279022,"None"
"TAX1BP1",-0.183209147170681,8.05566374327981,6.29606488736137,0.0165345420733189,"Down"
"CHCHD2",-0.225891160165196,9.48019247414935,11.8238713337557,0.00144491378045534,"Down"
"HSPB1",0.715518061198825,8.42719443852162,49.9977867985561,2.09486941240923e-08,"Up"
"PDAP1",-0.212713776533592,7.36434652338497,4.30098025378727,0.0449945173934893,"None"
"LSM5",0.554524477285583,7.45693838565124,27.6353352139528,6.1082124582983e-06,"Up"
"TMEM106B",0.928411096951898,6.73451293992834,62.175133620631,1.74244156972299e-09,"Up"
"GIMAP2",0.534862419151432,7.0837879360357,11.8340994659217,0.00152033435914428,"Up"
"PSMA2",-0.13015967482416,7.81182377036119,1.98420803516003,0.167167898578865,"None"
"EIF4H",0.162336255177532,7.87379693764746,3.70257515149249,0.0619257113644108,"None"
"SEC61B",-0.765789466611903,8.41289483085159,83.9511347373048,4.06561009982428e-11,"Down"
"AKNA",-0.352672747410571,8.2510040987083,12.3841260804271,0.0011518619375295,"Down"
"TNFSF8",0.859053947973265,7.05258316105527,7.4325687805467,0.0106319879323917,"Up"
"DOCK8",0.0698046740543147,7.86147891681044,0.615250255454459,0.437734230823933,"None"
"EDF1",-0.0340897849156945,8.88871661164722,0.17064147745409,0.719622575292774,"None"
"SETX",0.0536324150871663,7.22405109190864,0.232871262001715,0.63220202049956,"None"
"EIF3A",-0.259211951062917,7.79462728236339,10.9614549058327,0.00206131638732033,"Down"
"DDX50",0.214003015344878,6.8327516395305,4.4181968574316,0.0423161245755719,"None"
"SPOCK2",0.308372091888945,9.07157214298637,15.1446262597096,0.000393740183192913,"Up"
"TNKS2",-0.320742256465181,7.10332355669126,16.5576481021484,0.000290533821866947,"Down"
"CCNY",0.302502881494425,7.27046518978769,10.6404456664505,0.00235762253459329,"Up"
"TSPAN14",0.179197297570437,7.30063579961345,2.55418717437484,0.118377487952795,"None"
"UBTF",0.317189288580256,7.51512626304374,7.58477954382758,0.00901907716912134,"Up"
"KPNB1",-0.135925347330005,7.80172499390371,2.0705053346317,0.174184173967081,"None"
"CDK5RAP3",0.202686163135474,7.4127891099415,5.38062598168525,0.0258958378793113,"None"
"PFN1",-0.620291019822017,11.9926615036242,85.1791100275204,3.35877014024649e-11,"Down"
"RNF167",-0.407928404404029,7.86067472896506,17.6243495646592,0.000158589025088341,"Down"
