,B_LOMGlow_2,CD4T_EOMGlow_3,CD8T_LOMGlow_2,NK_EOMGlow_1
EMC8,1.233240146,NA,NA,-0.612701727
ENTPD6,NA,-2.290875114,NA,NA
EPG5,-5.973609975,NA,0.996355522,NA
EPS15L1,NA,NA,-1.349863454,NA
EPSTI1,-1.559892052,NA,NA,NA
ERAL1,NA,-2.548744233,NA,NA
ERCC4,NA,NA,-1.113297035,NA
ERLEC1,1.517441201,NA,NA,NA
ERLIN2,NA,-6.275637838,NA,NA
ERN1,NA,NA,1.500410774,NA
ETV3,NA,-2.30131508,NA,NA
EXOC1,-3.029282562,NA,NA,NA
EXOC3,NA,NA,-1.26932447,NA
EXOC6B,-1.677238611,NA,NA,NA
EXOSC3,NA,-2.619016218,NA,NA
EXOSC7,NA,-1.626787132,NA,NA
F11R,NA,NA,-1.517757785,NA
FADD,NA,-2.162791497,NA,NA
FAM117A,NA,-1.032150729,NA,NA
FAM118B,NA,-6.142432576,NA,NA
FAM120B,-0.993058603,NA,-1.257408879,NA
FAM133B,-1.044836824,NA,NA,NA
FAM149B1,-5.791258491,NA,NA,NA
FAM199X,NA,-1.692378566,NA,NA
FAM200A,NA,-6.120887184,NA,NA
FAM32A,-1.500671469,NA,NA,NA
FAM3C,NA,-1.618241764,0.735191915,NA
FAM43A,NA,NA,2.313609933,NA
FAM50A,NA,-1.014388534,NA,NA
FAM98A,1.391328894,NA,NA,NA
FAM98B,1.185551053,NA,NA,NA
FBRSL1,-1.378729747,-1.965072265,NA,NA
FBXL14,-2.516605258,NA,NA,NA
FBXL15,NA,-1.420221372,NA,NA
FBXL16,NA,-1.875223766,NA,NA
FBXL17,-1.56871536,NA,NA,NA
FBXL20,-1.946218741,NA,NA,NA
FBXL3,NA,-1.309877202,NA,NA
FBXO11,-1.131087956,NA,NA,-0.51523319
FBXO31,-6.54663103,NA,-1.431361323,NA
FBXO42,-1.728746561,-1.943262835,NA,NA
FBXO46,NA,NA,-1.259640063,NA
FBXW2,NA,NA,-1.345626035,NA
FCER1G,NA,NA,-3.664356855,NA
FCF1,NA,-1.950022173,NA,NA
FCGR2B,-1.597457787,NA,NA,NA
FCGR3A,NA,NA,-4.612626731,0.268108227
FCHSD1,NA,-1.713559329,NA,NA
FCHSD2,-1.360744412,NA,NA,NA
FCRL1,-1.107774468,NA,NA,NA
FCRL6,NA,NA,-2.977051132,0.403448721
FDPS,NA,-2.293418663,NA,NA
FEM1B,-6.704906317,NA,NA,NA
FEZ1,NA,NA,1.586256045,NA
FGD2,-1.197707822,NA,NA,NA
FGD3,-1.205110761,NA,NA,NA
FGFBP2,NA,NA,-6.253862203,0.840628744
FGR,NA,NA,-2.352684442,NA
FHIP2A,NA,NA,-1.368277877,NA
FHIT,NA,NA,-2.059485969,NA
FHL3,NA,NA,1.173634629,-0.658233678
FIG4,-1.677728047,NA,-1.278604188,NA
FIGNL1,NA,-6.034467039,NA,NA
FKBP11,2.241546372,-1.304419312,0.790859612,NA
FKBP15,-2.277533568,NA,NA,NA
FLYWCH1,-6.307878083,NA,NA,NA
FMNL3,-6.55401951,NA,NA,NA
FNDC3B,2.536952958,NA,NA,NA
FOSL2,NA,NA,1.078321636,NA
FOXP1,NA,NA,-1.493064242,NA
FOXRED1,1.442593843,NA,NA,NA
FRA10AC1,NA,-1.065711123,NA,NA
FUCA2,NA,-6.002240222,NA,NA
FURIN,NA,NA,1.053296249,NA
FUT7,NA,NA,1.94285185,NA
FXR2,-6.081021954,NA,NA,NA
FXYD1,NA,-1.809538723,NA,NA
FYN,-1.920659326,-0.346242566,NA,NA
G6PC3,1.186969521,NA,NA,NA
GAB1,2.194766808,NA,NA,NA
GAB3,NA,-6.052904337,NA,0.480343446
GABARAPL1,NA,NA,-1.519983521,NA
GABPB1,NA,NA,-1.520690143,NA
GADD45A,1.840507905,NA,NA,NA
GALC,NA,NA,1.224276035,NA
GALK1,NA,NA,-1.442680169,NA
GALK2,NA,-2.627360882,NA,NA
GALNS,NA,NA,-1.292414026,NA
GALNT11,-6.458635307,NA,NA,NA
GALNT6,NA,-6.06672246,-2.980057471,NA
GALNT7,-2.356701355,NA,NA,NA
GALT,-1.713494235,NA,NA,NA
GANAB,1.084553331,NA,NA,NA
GANC,-7.893573235,NA,-2.13263244,NA
GAPT,-1.183573509,NA,NA,NA
GART,NA,-1.28710654,NA,-0.517716263
GATAD2B,-1.63558374,NA,NA,NA
GBA2,NA,-6.353964567,NA,NA
GBE1,-2.562075128,NA,NA,NA
GBP3,-5.908976256,NA,NA,NA
GBP5,NA,NA,1.14657784,NA
GCHFR,NA,NA,1.060689389,-0.81855562
GCLM,NA,-1.645957057,NA,NA
GCSAM,-2.379707497,NA,-7.28328744,NA
GCSH,NA,NA,-1.11227462,NA
GEMIN4,NA,-6.5390898,NA,NA
GFER,NA,-1.408990083,NA,NA
GFM1,NA,NA,-1.014169673,NA
GFM2,NA,-6.496965186,NA,NA
GGH,2.344798771,NA,NA,NA
GGT7,NA,NA,-3.165251101,NA
GIGYF1,NA,-2.348495129,-1.82697137,NA
GKAP1,-1.797194172,NA,NA,NA
GLIPR1,NA,-1.438252551,NA,NA
GLIPR2,NA,-1.199494844,NA,NA
GLYCTK,NA,NA,-2.679998,NA
GMDS,1.05729032,NA,-0.757014234,NA
GMFB,-1.987628273,NA,-1.333592411,NA
GMPPB,1.672840872,NA,NA,NA
GNA12,NA,NA,-1.40032152,NA
GNAQ,NA,NA,-1.554671245,-2.14859294
GNB5,-1.130877415,NA,NA,NA
GNL1,NA,-1.433889928,NA,NA
GNL3,1.411974968,NA,NA,NA
GNPDA1,NA,NA,1.156747869,NA
GNPTG,NA,-1.193773427,NA,NA
GOLGA1,NA,-2.428197743,NA,NA
GOLIM4,1.308707121,NA,NA,-1.3788901
GOLPH3L,1.596162792,1.505852564,NA,NA
GORASP2,1.564336144,NA,NA,NA
GPANK1,NA,-2.516356324,NA,NA
GPATCH2L,NA,-1.806947416,-0.845257771,NA
GPD1L,NA,-6.219459274,1.29695001,NA
GPR132,-7.225737278,NA,NA,NA
GPR137,NA,NA,1.284686474,NA
GPR137B,NA,NA,-1.952855072,NA
GPR15,3.527265236,NA,NA,NA
GPR171,NA,NA,1.395753093,NA
GPR174,-3.064288997,NA,-1.127844386,NA
GPR18,NA,-6.122495087,NA,NA
GPR183,-1.044002502,NA,NA,NA
